Name,Address,Personal Number,Credit Card,IPv4
Irene Andreassen,"Abrahamsenringen 5F, 3808 Næss",09125846618,3548072091005845,216.141.80.40
Kenneth Madsen,"Martinsentjernet 67, 7829 Elimark",21053420025,502064163731,80.111.188.99
Eva Andresen,"Hagenhavna 4, 4127 Stinegrunn",17116012510,2232107289604489,195.101.98.42
Ole Amundsen,"Lunderingen 66, 8743 Brittvik",21047000200,4651597739579976497,180.130.241.107
Jens Sandvik,"Birkelandsvingen 4, 6780 Turidborg",02066918133,36274196563885,112.79.18.65
Eli Helland,"Sivertsenhøgda 24, 1213 Petterby",14103440085,6573858599532392,89.212.19.238
Roger Ali,"Myhremoen 56, 1819 Andreamark",16078104094,180077874350267,45.230.130.194
Mathias Danielsen,"Henriksenhavna 24C, 3567 Antonsen",26058940738,4999087739636,143.118.149.107
Lene Haugen,"Gulbrandsengjerdet 373, 0754 Gunndal",15025329055,180085202480771,202.98.253.37
Stig-Sander Thomassen,"Eliassenhavna 13, 9995 Runesund",02089519775,30210288530834,124.194.144.139
Magne Kristiansen,"Gundersenjordet 07, 8365 Sisselby",31055723748,2241616938499496,57.243.200.53
Sara-Stine Myklebust,"Nygårdmoen 5E, 0192 Nygård",29018726902,180016869813111,32.227.68.146
Aud Solheim,"Eriksenbakken 3, 9574 Adrianvær",30104711452,3513438551980135,170.91.182.84
Fredrik-Trond Sandvik,"Jenssenroa 423, 6273 Ivarvær",25097742467,30047333957459,113.108.196.161
Gunnar Hagen-Amundsen,"Ruudstubben 615, 1762 Siljestad",22013906681,4232619994515,122.129.134.174
Martine-Mona Gundersen,"Larsengata 13, 8120 Ingervær",23020273410,2290024912801722,57.2.44.120
Kristin Sandvik,"Solheimberget 5, 8493 Einardal",06016409632,503847379990,211.174.35.128
Anita Gulbrandsen,"Solbergringen 58, 9211 Eide",01069410908,4040010989886238009,219.140.214.164
Line Andresen,"Sætherlia 37, 8592 Kimgrunn",03035501079,4254994884642579,114.61.182.174
Bjørn Eriksen,"Vikstubben 67, 0463 Mortenfjell",22068011780,213167328428511,35.20.75.217
Prof. Henrik Johansen,"Ellingsenlunden 82, 5043 Tommyvik",03044106549,4616207351760003,31.223.197.151
Sigrid Gundersen-Henriksen,"Simonsenberget 8, 1477 Eirikmark",22095817746,36147582607047,78.40.163.237
Jenny Abrahamsen,"Martinsenlunden 50A, 6389 Nielsen",31059607211,6011157741396354,120.172.143.204
Jon-Øystein Hanssen,"Nguyenlyngen 2, 7006 Tomø",30108402748,6536729069207367,95.118.202.13
Karen Thomassen,"Bergehagen 32, 9241 Ali",03010479877,4547161302092137,157.2.7.214
Rita Nilsen,"Gulbrandsenmarka 29, 2397 Markussund",08068209170,36532721473585,179.33.2.202
Bjørn Christensen,"Madsenløkka 76, 4425 Berge",27088623806,5273526284959668,162.199.129.248
Hans-Sondre Jørgensen,"Lienrøa 2, 6904 Andersen",06055523698,4991695763686,55.120.99.104
Thea Solheim,"Knutsenkollen 9B, 2874 Adrianborg",25075327156,675929923695,122.104.33.86
Jorunn Hagen,"Johnsenfaret 7B, 3057 Pettersen",14105422521,4749921346976763400,189.249.37.48
Janne Berg,"Auneberget 93, 0666 Brittfjord",19080198062,2233669326375620,133.124.181.37
Kjersti-Marie Aas,"Haugenstranda 75, 5167 Kristinmark",22065831698,370184835631841,165.183.213.117
Heidi Lien,"Johnsenholtet 66B, 9821 Mathisen",24093742172,630455920870,61.24.70.52
Asbjørn Aas,"Kristoffersenskogen 8, 9038 Mariannefjell",18044101366,374391333108166,190.18.214.159
Else Moen,"Moestubben 254, 9388 Isaksen",23123843118,30025452183636,125.12.144.185
Arild-Vegard Andresen,"Knudsenlyngen 7, 7292 Lunde",12108146794,3599117688670390,12.72.112.124
Else Holm,"Dahlåsen 65A, 3599 Haugland",10089324721,4352635217883957,201.102.13.90
Øystein Moen-Tveit,"Haugenjordet 15, 9753 Ruud",27107627060,6507656345405801,120.184.21.237
Anne Berg,"Karlsenlia 57, 3499 Andreassen",30063618655,630466275843,100.2.8.28
Christian Aasen,"Lundeløkka 2F, 1175 Jenssen",26127936829,30334584178757,83.113.117.60
Prof. Odd Hauge,"Mikkelsenlia 9, 9429 Eliassen",02027548620,374845979489339,106.164.226.98
Markus Kristiansen,"Sørensenrøa 18, 0354 Kristineøy",20100156491,4864778062559,45.87.150.164
Stine Knudsen,"Solheimmoen 1F, 3127 Solberg",06015621476,639083559083,177.192.181.13
Lars Evensen,"Knutsenplassen 10, 5011 Karlsen",22015823686,343222655871040,13.153.232.144
Morten Andresen,"Hauglia 8A, 7252 Kristiansen",26065020164,6011484146878558,45.165.72.36
Øyvind Olsen,"Arnesentunet 8, 8903 Finnhavn",05124542407,562337936727,162.128.193.20
Espen-Jens Fredriksen,"Arnesenkroken 9, 0810 Erikås",02018048917,6585299207340355,23.188.37.197
Siri Andresen,"Tveitlyngen 5, 3284 Annstrand",13087818645,4081178115531012,178.147.91.197
Stig Ellingsen,"Kristensenbråten 365, 9771 Lie",05110067412,38788329382481,161.28.146.62
Grethe Bøe,"Aasenjordet 8, 6361 Elseby",15098326356,4662243316646,32.140.246.79
Helge Haugland,"Hagengrenda 8, 2534 Øyvindhamn",06050178674,30498184328300,165.64.42.158
Finn Jensen,"Andersenlunden 42, 0034 Holm",29070274017,3580876948006130,50.95.214.145
Lene Eide,"Thomassengropa 4, 2656 Linnfjord",11028512408,30302497108765,85.195.49.249
Odd Rønning,"Eliassengata 97B, 5678 Bøe",30036733981,4726045706872,137.164.151.54
Jan Myklebust,"Edvardsenstubben 451, 1270 Oddby",01125511445,3501582749205485,65.71.25.58
Kjersti-Helene Berntsen,"Gundersenhagen 2, 9784 Gerdbø",30113425446,4242741221018820555,46.234.107.74
Lars Thomassen,"Antonsenmarka 099, 9470 Ahmed",21088514006,3510085818197087,19.203.110.69
Alf Isaksen,"Sæthergrenda 53, 7073 Pålstrøm",14108814285,2640064218409751,109.116.58.194
Marie Eide,"Aunemyra 2E, 7933 Grethesjøen",31037338780,3520851940436521,153.166.174.93
Nina-Kristin Hagen,"Nilsenhøgda 5, 3811 Grethesjøen",11035111222,30587161823919,130.37.214.182
Ragnhild Isaksen,"Kristianseneggen 68B, 1244 Heidivåg",05114236251,4528069981518,15.237.90.254
Synnøve Moe,"Alieggen 2, 0207 Jonodden",28126327694,2271755496518009,187.217.212.182
Eli Fredriksen-Tangen,"Lieneggen 2, 9247 Abrahamsen",11110268868,213187480012721,84.73.118.75
Jon-Tore Amundsen,"Fredriksenfaret 04F, 4349 Engen",30014435065,4244494367860056,1.156.171.42
Frank Rasmussen-Sæther,"Hansenhaugen 21H, 2013 Steinfoss",16120097591,3548184988773268,221.214.232.209
Julie Jenssen,"Ellingsenholtet 8B, 2052 Pålbø",10120056560,6564125412311656,164.51.13.94
Kari Engen,"Johnsengrenda 4, 5630 Ninabø",03010396734,340645019859702,220.237.240.149
Solveig Eriksen,"Myhreskrenten 233, 4335 Antonsen",19108526605,213187061314371,103.128.40.28
Eivind-Roy Henriksen,"Gulbrandsenkroken 2A, 7049 Pålhavn",03120355332,4250148857594622,40.87.168.37
Prof. Pål Engen,"Ruudflata 44C, 4801 Isaksen",11109040659,6011569079218093,59.231.54.161
Finn Myhre-Pettersen,"Andersenmarka 36, 1589 Jenssen",03074034666,4548015227402756,220.146.104.32
Berit-Wenche Iversen,"Birkelandstubben 7C, 1185 Wenchebø",01064439991,213163529086646,38.47.199.253
Leif Lund,"Hansenmoen 2, 6741 Elidal",10076738543,4899136650106345,146.115.19.68
Elin Aune,"Bergebakken 3D, 0031 Amundsen",14025329792,4760802084492267736,151.201.133.154
Robert Johannessen,"Lienløkka 97, 5407 Torillvik",23049835086,4022496982191437052,193.104.156.110
Hege Andreassen,"Haugeplassen 4, 7762 Astridodden",16040177195,6011860840135694,97.93.246.197
